Xcalibur HeliTEM 21m — gate report

Base frequency: 30.0 Hz

Pulse width:    6.0547 ms

Off-time:       10.6120 ms


Nominal Transmitter Current: 220.0 A

Nominal Dipole moment:       304480 A m²

Gate    StartTime      EndTime      MidTime        Width   StartOffTime   EndOffTime   MidOffTime
   1       6.1035       6.1198       6.1117       0.0163         0.0488       0.0651       0.0570
   2       6.1198       6.1361       6.1279       0.0163         0.0651       0.0814       0.0732
   3       6.1361       6.1523       6.1442       0.0163         0.0814       0.0977       0.0895
   4       6.1523       6.1768       6.1646       0.0244         0.0977       0.1221       0.1099
   5       6.1768       6.2093       6.1930       0.0326         0.1221       0.1546       0.1383
   6       6.2093       6.2419       6.2256       0.0326         0.1546       0.1872       0.1709
   7       6.2419       6.2826       6.2622       0.0407         0.1872       0.2279       0.2075
   8       6.2826       6.3395       6.3110       0.0570         0.2279       0.2848       0.2563
   9       6.3395       6.4046       6.3721       0.0651         0.2848       0.3499       0.3174
  10       6.4046       6.4860       6.4453       0.0814         0.3499       0.4313       0.3906
  11       6.4860       6.5918       6.5389       0.1058         0.4313       0.5371       0.4842
  12       6.5918       6.7220       6.6569       0.1302         0.5371       0.6673       0.6022
  13       6.7220       6.8766       6.7993       0.1546         0.6673       0.8219       0.7446
  14       6.8766       7.0719       6.9743       0.1953         0.8219       1.0173       0.9196
  15       7.0719       7.3161       7.1940       0.2441         1.0173       1.2614       1.1393
  16       7.3161       7.6172       7.4666       0.3011         1.2614       1.5625       1.4119
  17       7.6172       7.9915       7.8044       0.3743         1.5625       1.9368       1.7497
  18       7.9915       8.4473       8.2194       0.4557         1.9368       2.3926       2.1647
  19       8.4473       9.0169       8.7321       0.5697         2.3926       2.9622       2.6774
  20       9.0169       9.7168       9.3669       0.6999         2.9622       3.6621       3.3122
  21       9.7168      10.5876      10.1522       0.8708         3.6621       4.5329       4.0975
  22      10.5876      11.6618      11.1247       1.0742         4.5329       5.6071       5.0700
  23      11.6618      12.9883      12.3250       1.3265         5.6071       6.9336       6.2703
  24      12.9883      14.6322      13.8102       1.6439         6.9336       8.5775       7.7555
  25      14.6322      16.6667      15.6494       2.0345         8.5775      10.6120       9.5947
