Xcalibur HeliTEM 21m — gate report

Base frequency: 7.5 Hz

Pulse width:    22.7539 ms

Off-time:       43.9128 ms


Nominal Transmitter Current: 220.0 A

Nominal Dipole moment:       304480 A m²

Gate    StartTime      EndTime      MidTime        Width   StartOffTime   EndOffTime   MidOffTime
   1      22.8027      22.8190      22.8109       0.0163         0.0488       0.0651       0.0570
   2      22.8190      22.8353      22.8271       0.0163         0.0651       0.0814       0.0732
   3      22.8353      22.8597      22.8475       0.0244         0.0814       0.1058       0.0936
   4      22.8597      22.8923      22.8760       0.0326         0.1058       0.1383       0.1221
   5      22.8923      22.9329      22.9126       0.0407         0.1383       0.1790       0.1587
   6      22.9329      22.9899      22.9614       0.0570         0.1790       0.2360       0.2075
   7      22.9899      23.0632      23.0265       0.0732         0.2360       0.3092       0.2726
   8      23.0632      23.1608      23.1120       0.0977         0.3092       0.4069       0.3581
   9      23.1608      23.2910      23.2259       0.1302         0.4069       0.5371       0.4720
  10      23.2910      23.4619      23.3765       0.1709         0.5371       0.7080       0.6226
  11      23.4619      23.6898      23.5758       0.2279         0.7080       0.9359       0.8219
  12      23.6898      23.9827      23.8363       0.2930         0.9359       1.2288       1.0824
  13      23.9827      24.3734      24.1781       0.3906         1.2288       1.6195       1.4242
  14      24.3734      24.8861      24.6297       0.5127         1.6195       2.1322       1.8758
  15      24.8861      25.5615      25.2238       0.6755         2.1322       2.8076       2.4699
  16      25.5615      26.4486      26.0050       0.8870         2.8076       3.6947       3.2511
  17      26.4486      27.6204      27.0345       1.1719         3.6947       4.8665       4.2806
  18      27.6204      29.1585      28.3895       1.5381         4.8665       6.4046       5.6356
  19      29.1585      31.1849      30.1717       2.0264         6.4046       8.4310       7.4178
  20      31.1849      33.8542      32.5195       2.6693         8.4310      11.1003       9.7656
  21      33.8542      37.3698      35.6120       3.5156        11.1003      14.6159      12.8581
  22      37.3698      42.0003      39.6851       4.6305        14.6159      19.2464      16.9312
  23      42.0003      48.0876      45.0439       6.0872        19.2464      25.3337      22.2900
  24      48.0876      56.1117      52.0996       8.0241        25.3337      33.3577      29.3457
  25      56.1117      66.6667      61.3892      10.5550        33.3577      43.9128      38.6353
